127.0.0.1, 2011-12-16 09:48:17, GET, /Inventarioxo2/default/list_laptop, HTTP/1.1, 404, 0.001315
127.0.0.1, 2011-12-16 09:48:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000493
127.0.0.1, 2011-12-16 09:48:23, GET, /admin/default/design, HTTP/1.1, 303, 1.056130
127.0.0.1, 2011-12-16 09:48:23, GET, /admin/default/index, HTTP/1.1, 200, 0.036382
127.0.0.1, 2011-12-16 09:48:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000541
127.0.0.1, 2011-12-16 09:48:26, POST, /admin/default/index, HTTP/1.1, 200, 0.039302
127.0.0.1, 2011-12-16 09:48:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000503
127.0.0.1, 2011-12-16 09:48:28, POST, /admin/default/index, HTTP/1.1, 303, 0.033239
127.0.0.1, 2011-12-16 09:48:29, GET, /admin/default/design, HTTP/1.1, 500, 0.211303
127.0.0.1, 2011-12-16 09:48:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000574
127.0.0.1, 2011-12-16 09:48:31, GET, /admin/default/ticket/admin/127.0.0.1.2011-12-16.09-48-28.218b8a25-d18c-46f0-9acb-43cbd25b453a, HTTP/1.1, 200, 0.329608
127.0.0.1, 2011-12-16 09:48:31, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000643
127.0.0.1, 2011-12-16 09:48:31, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000604
127.0.0.1, 2011-12-16 09:48:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000549
127.0.0.1, 2011-12-16 09:48:46, GET, /admin/default/index, HTTP/1.1, 303, 0.006222
127.0.0.1, 2011-12-16 09:48:46, GET, /admin/default/site, HTTP/1.1, 200, 0.050658
127.0.0.1, 2011-12-16 09:48:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000501
127.0.0.1, 2011-12-16 09:48:46, POST, /admin/default/check_version, HTTP/1.1, 200, 0.548966
127.0.0.1, 2011-12-16 09:48:48, GET, /admin/default/twitter, HTTP/1.1, 200, 2.061929
127.0.0.1, 2011-12-16 09:49:13, GET, /admin/default/uninstall/welcome, HTTP/1.1, 200, 0.041120
127.0.0.1, 2011-12-16 09:49:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000528
127.0.0.1, 2011-12-16 09:49:15, POST, /admin/default/uninstall/welcome, HTTP/1.1, 303, 0.040241
127.0.0.1, 2011-12-16 09:49:15, GET, /admin/default/site, HTTP/1.1, 200, 0.044642
127.0.0.1, 2011-12-16 09:49:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000566
127.0.0.1, 2011-12-16 09:49:16, GET, /admin/default/uninstall/examples, HTTP/1.1, 200, 0.040238
127.0.0.1, 2011-12-16 09:49:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000635
127.0.0.1, 2011-12-16 09:49:17, POST, /admin/default/uninstall/examples, HTTP/1.1, 303, 0.067949
127.0.0.1, 2011-12-16 09:49:17, GET, /admin/default/site, HTTP/1.1, 200, 0.043773
127.0.0.1, 2011-12-16 09:49:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000585
127.0.0.1, 2011-12-16 09:49:18, GET, /admin/default/twitter, HTTP/1.1, 200, 3.388249
127.0.0.1, 2011-12-16 09:49:19, GET, /admin/default/twitter, HTTP/1.1, 200, 1.464816
127.0.0.1, 2011-12-16 09:50:01, POST, /admin/default/site, HTTP/1.1, 303, 1.541643
127.0.0.1, 2011-12-16 09:50:02, GET, /admin/default/site, HTTP/1.1, 200, 0.061415
127.0.0.1, 2011-12-16 09:50:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000537
127.0.0.1, 2011-12-16 09:50:08, GET, /admin/default/twitter, HTTP/1.1, 200, 6.234230
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/default/index, HTTP/1.1, 200, 3.164768
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/css/calendar.css, HTTP/1.1, 200, 0.000780
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/plugin_jqgrid/ui.jqgrid.css, HTTP/1.1, 200, 0.001771
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/plugin_jqgrid/ui-darkness/jquery-ui-1.8.1.custom.css, HTTP/1.1, 200, 0.003533
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/plugin_jqgrid/jquery-ui-1.7.2.custom.min.js, HTTP/1.1, 200, 0.000980
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/js/calendar.js, HTTP/1.1, 200, 0.002315
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/js/jquery.js, HTTP/1.1, 200, 0.008075
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/plugin_jqgrid/i18n/grid.locale-en.js, HTTP/1.1, 200, 0.001243
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/scripts/jquery.easyAccordion.js, HTTP/1.1, 200, 0.000728
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/plugin_jqgrid/jquery.jqGrid.min.js, HTTP/1.1, 200, 0.001946
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/scripts/utility.js, HTTP/1.1, 200, 0.000588
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/plugin_layouts/layouts/LongBeach/style.css, HTTP/1.1, 200, 0.000596
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/plugin_layouts/superfish.js, HTTP/1.1, 200, 0.000546
127.0.0.1, 2011-12-16 09:50:10, GET, /FMOInventory/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000618
127.0.0.1, 2011-12-16 09:50:11, GET, /FMOInventory/default/images/slide-title-inactive-1.jpg, HTTP/1.1, 404, 0.119248
127.0.0.1, 2011-12-16 09:50:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000479
127.0.0.1, 2011-12-16 09:50:14, GET, /FMOInventory/default/list_laptop, HTTP/1.1, 200, 0.183357
